"Filename",203_1.mzML,206_1.mzML,205_1.mzML,203_2.mzML,205_2.mzML,206_2.mzML,202_3.mzML,203_3.mzML,208_2.mzML,207_2.mzML,209_2.mzML,211_1.mzML,210_1.mzML,209_1.mzML,202_1.mzML,207_1.mzML,212_1.mzML,212_2.mzML,211_2.mzML,208_1.mzML,213_1.mzML,213_3.mzML,210_2.mzML,204_1.mzML,202_2.mzML,213_2.mzML,204_2.mzML
44/343.5325mz/0.70min,,1837119.875,1853679.5,,465553.0,1676634.25,238996.09375,,2982465.0,1170539.0,106064.96875,2051743.75,,,4607378.0,2616632.5,1801433.875,671680.0625,2113701.25,3721682.5,1432819.0,913559.4375,,3100245.5,,667940.375,
45/381.8750mz/0.70min,,552015.1875,628758.5,,,493938.375,,,1315331.0,,,1445962.25,,,1820764.625,893662.3125,521623.21875,161774.125,1601283.0,1504107.625,183623.203125,,,1165377.0,,,
46/342.8649mz/0.70min,,8947676.0,8950089.0,899739.5625,2582677.5,8110842.0,2798757.5,,1.4347038E7,6381231.5,840707.0,1.0074865E7,,803642.5625,2.2083308E7,1.2570059E7,8721860.0,3433277.5,1.0266829E7,1.7740998E7,7069542.5,4946157.5,,1.5126701E7,,3471140.25,
47/343.8661mz/0.70min,,391907.78125,322331.4375,,,361939.71875,,,514330.1875,225241.859375,,348907.46875,,,836656.3125,608667.625,377356.5,,348362.78125,817016.25,287363.5,181162.078125,,425308.125,,,
49/384.2433mz/0.70min,,194787.078125,,,,192420.875,514534.53125,,,,,448095.09375,,,1405680.125,,,,,479078.59375,,,,745906.25,,,
50/300.1783mz/0.71min,,1795997.875,1643522.125,132224.0,303744.71875,1656735.75,1009062.125,,2726125.0,795508.8125,120375.1328125,2476887.0,,122031.8984375,5537531.5,2269525.5,1697171.125,624010.375,2483395.25,3376084.25,1123494.875,793695.0,,3857495.75,,535137.5,
51/300.5125mz/0.71min,,843706.375,705643.375,,,745601.4375,,,1244036.0,332826.625,,1139805.125,,,2553865.0,1052991.0,752934.375,272713.5,1208763.25,1487971.0,487204.84375,343757.09375,,1681684.125,,187411.1875,
52/191.0395mz/0.71min,66878.6328125,,,75219.765625,,,,,,,,,,,,,,,,,,,,,,,
53/333.2396mz/0.71min,,,,,,,1201838.75,,,,,,,,,,,,,,,,,,399734.6875,,
54/514.2949mz/0.71min,,,,,,1065171.625,,,,,,1445584.0,,,,,,,,2685022.75,,,,1898850.875,,,
55/513.7936mz/0.71min,,2294035.25,2278264.75,,606685.0,2125247.5,350485.9375,,3870875.75,1572780.5,147777.265625,2662018.75,,136757.015625,6096577.0,3331814.5,2169398.25,724155.25,2797154.5,4862711.0,1772487.25,1143487.125,,3511715.75,,754338.5,
56/262.1639mz/0.71min,,638066.25,395084.40625,,,568906.75,,,1022687.3125,,,476139.3125,,,1285003.125,519629.34375,678816.5,239724.453125,590558.75,1103221.75,468117.46875,356341.3125,,771359.875,,224356.828125,
58/392.7423mz/0.72min,,521431.8125,,,,446100.28125,,,812652.9375,,,,,,1182022.25,,547884.625,,440634.03125,978490.75,400659.15625,283340.4375,,747583.5625,,,
59/571.3079mz/0.72min,,364575.78125,,,,353439.28125,,,1098614.75,,,1244501.25,,,1775461.375,677526.9375,324115.84375,,1406173.375,1244801.875,,,,,,,
60/Comphene/137.1329mz/0.72min,,,,,,,718219.1875,,,,,,,,,,,,,,,,,,243722.734375,,
61/449.7644mz/0.72min,,689986.375,596117.875,,,600421.1875,,,1125732.375,257624.4375,,975530.375,,,2412424.25,883477.5,589716.4375,,1021162.3125,1307367.375,397046.3125,274450.0,,1352183.75,,,
62/514.7952mz/0.73min,,315697.65625,,,,,,,539635.625,,,364432.65625,,,,497452.375,,,,,,,,,,,
63/154.1596mz/0.73min,,,,,,,1663277.375,,,,,,,,,,,,,,,,,,629433.9375,,
64/Isophorone diamine/171.1862mz/0.73min,,,,,,,1115292.125,,,,,,,,,,,,,,,,,,409499.625,,
65/Melibiose/365.1071mz/0.74min,780159.5625,308149.125,283339.3125,1019341.8125,375445.1875,542923.625,1336808.75,463121.25,,369071.375,303234.34375,,377943.09375,345541.625,1389947.875,,305304.3125,130946.5625,,,242276.671875,283561.46875,299115.375,534130.3125,,127125.0703125,
66/315.1957mz/0.74min,,,,,,,571493.8125,,,,,,,,,,,,,,,,,,190880.375,,
67/4-AMINOBUTANOATE - 40.0 eV/104.1072mz/0.74min,363077.84375,,,289562.4375,,247627.421875,340414.09375,115987.421875,,,,,,,,,,,,,,,,,,,
70/299.2216mz/0.75min,,,,,,,483823.28125,,,,,,,,,,,,,,,,,,170563.59375,,
71/381.0809mz/0.76min,200617.0,,,181717.890625,,359561.28125,556548.625,,,,,,,,,,,,,,,,,,,,
72/207.1862mz/0.76min,,,,,,,833544.9375,,,,,,,,,,,,,,,,,,330962.1875,,
73/242.2235mz/0.77min,,,,,,,582441.8125,,,,,,,,,,,,,,,,,,204730.734375,,
74/277.2396mz/0.77min,,,,,,,2952825.0,,,,,,,,,,,,,,,,,,1369215.375,,
75/110.0603mz/0.78min,,,,,,,,,,,,,,,,,,,,,,,,1907878.875,720182.875,,1975645.25
80/Spectral Match to 1-Amino-2-ethoxybenzene from NIST14/121.0651mz/0.81min,196097.734375,,,,,,,,,,,,731238.4375,,906874.6875,,,,,,394405.96875,414634.875,1093646.125,7550462.0,5759109.5,,1.2047064E7
81/122.0684mz/0.83min,,,,,,,,,,,,,,,,,,,,,,,,,329281.15625,,795358.0625
82/178.0870mz/0.83min,319832.71875,,,200904.1875,98847.3203125,200742.859375,,275322.71875,,614944.5,,,1083638.875,,,380626.5625,745241.9375,233602.9375,,,670697.4375,820166.125,1024601.9375,,,297357.59375,
84/217.1055mz/0.86min,,,,,,,392672.3125,,,,,,,,,,,,,,,,,,282787.90625,,
87/328.6948mz/0.87min,,382976.21875,686567.3125,734383.3125,157510.703125,362512.84375,2116923.75,,1.0632081E7,,,2004783.25,,,8705957.0,819081.75,1220921.625,507754.34375,2477433.5,1.1051852E7,274733.96875,300006.34375,,5713318.0,,125920.9296875,
89/329.6958mz/0.87min,,,,,,,,,916814.6875,,,,,,,,,,,740382.375,,,,,,,
90/360.2146mz/0.87min,,,,,,,,,353737.0,,,,,,,,,,,315975.21875,,,,,,,
91/656.3830mz/0.87min,,,,,,,,,2377680.25,,,,,,3159342.5,,,,472595.28125,2442635.75,,,,968984.6875,,,
92/329.1963mz/0.88min,,,,,,,,,,,,,,,2967295.5,,,,767729.8125,,,,,,,,
96/326.2088mz/0.89min,220509.71875,1140904.0,1360093.0,,,1100009.0,,,512866.0,2445427.75,,965536.1875,461044.625,,,2618373.75,632402.8125,,329438.875,1524556.875,500068.625,722083.125,,,,113931.1796875,
98/144.0483mz/0.90min,,,,,,,,,,,,,,,,,,,,,,,,664387.1875,547454.8125,,833511.25
99/382.2100mz/0.90min,126714.53125,,,,,,,239448.265625,,,,,,,,,,,,,,,,,,,
102/261.1316mz/0.93min,,,,,,,417628.53125,,,,,,,,,,,,,,,,,,342094.4375,,
105/656.3264mz/0.93min,,,,,,,,,,,,720438.375,,,,,,,373942.1875,384344.0,,,,,,,
109/380.1350mz/0.96min,,,,,,14671.470703125,532326.125,,,542063.5625,,225756.28125,505961.03125,,678511.5625,227630.46875,,,,,,215335.46875,346029.75,,,,
119/130.0655mz/0.99min,,,,,,,,,,,,,,,,,,,,,,,,1163722.0,3267671.75,,3552094.75
123/757.3764mz/1.00min,,,,,,,,,403984.34375,,,514736.625,,,,,,,352388.53125,1181006.5,,,,,,,
131/305.1579mz/1.03min,,,,,,,375501.03125,,,,,,,,,,,,,,,,,392601.09375,528239.0,,540715.375
132/181.0864mz/1.03min,,,,,,,222516.15625,,,,,,,,561114.625,,,,,,,,,,,,
133/105.0701mz/1.03min,1293323.875,709975.8125,429167.6875,614079.875,384414.375,725662.625,1044337.25,1055583.625,,2123135.5,1079289.5,596862.0625,5437434.5,1232795.5,1636707.5,851386.1875,1811210.25,513872.75,163964.78125,609970.5,1668629.875,1886030.25,4858064.5,3120689.0,2654315.75,678740.75,3559757.0
135/Spectral Match to Hexaethylene glycol from NIST14 [IIN-based: Match]/283.1760mz/1.04min,,,,,,,,,,,,,,,,,,,,,,,,301986.65625,452494.125,,553282.0625
136/241.1075mz/1.05min,,,,,,,927654.625,,,,,,,,1323486.75,,,,,,,,,,,,
"140/""""""3,5-DIMETHOXYPHENOL""""""/155.0707mz/1.08min",,,,,,,414037.15625,,,,,,,,422838.5625,,,,,,,,,,,,
