Filename,202_3.mzML,202_1.mzML,202_2.mzML,203_1.mzML,203_2.mzML,203_3.mzML,204_1.mzML,204_2.mzML,205_1.mzML,205_2.mzML,206_1.mzML,206_2.mzML,207_2.mzML,207_1.mzML,208_2.mzML,208_1.mzML,209_2.mzML,209_1.mzML,210_1.mzML,210_2.mzML,211_1.mzML,211_2.mzML,212_1.mzML,212_2.mzML,213_1.mzML,213_3.mzML,213_2.mzML
74/277.2396mz/0.77min,2952825,NA,1369215.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80/Spectral Match to 1-Amino-2-ethoxybenzene from NIST14/121.0651mz/0.81min,NA,906874.6875,5759109.5,NA,NA,NA,7550462,12047064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731238.4375,1093646.125,NA,NA,NA,NA,394405.96875,414634.875,NA
84/217.1055mz/0.86min,392672.3125,NA,282787.90625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87/328.6948mz/0.87min,2116923.75,8705957,NA,NA,NA,NA,NA,NA,686567.3125,157510.703125,382976.21875,362512.84375,NA,NA,10632081,11051852,NA,NA,NA,NA,2004783.25,2477433.5,1220921.625,507754.34375,274733.96875,300006.34375,125920.9296875
102/261.1316mz/0.93min,417628.53125,NA,342094.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109/380.1350mz/0.96min,532326.125,678511.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542063.5625,227630.46875,NA,NA,NA,NA,505961.03125,346029.75,NA,NA,NA,NA,NA,NA,NA
131/305.1579mz/1.03min,375501.03125,NA,528239,NA,NA,NA,392601.09375,540715.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132/181.0864mz/1.03min,222516.15625,561114.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133/105.0701mz/1.03min,1044337.25,1636707.5,2654315.75,1293323.875,614079.875,1055583.625,3120689,3559757,429167.6875,384414.375,709975.8125,725662.625,2123135.5,851386.1875,NA,NA,1079289.5,1232795.5,5437434.5,4858064.5,596862.0625,163964.78125,1811210.25,513872.75,1668629.875,1886030.25,678740.75
136/241.1075mz/1.05min,927654.625,1323486.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140/""""""3,5-DIMETHOXYPHENOL""""""/155.0707mz/1.08min",414037.15625,422838.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143/465.1883mz/1.11min,331225.78125,353976.84375,NA,NA,NA,NA,NA,NA,139200.796875,293816.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145/378.7066mz/1.13min,8350601.5,6586316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5064609,4079894.25,NA,NA,NA,NA,812336.8125,1204722.875,554535.4375,222170.078125,NA,NA,NA
147/223.0970mz/1.15min,941210,1270921,1766825.5,169811.390625,NA,179868.75,2127905.5,3048510.75,NA,NA,381517.65625,377879.46875,1298759.875,714923.5625,369882.375,714244.3125,341704.84375,391692.4375,1409695.375,1149376.625,586234.6875,342974.46875,NA,NA,441676.8125,479179.15625,NA
153/327.2022mz/1.16min,662412.75,513421.21875,1418506.375,NA,NA,NA,1287958.125,2407648,343531.8125,207748.234375,278220.1875,353813.1875,572567.375,359873.28125,296828.5625,433721.46875,273008.3125,305694.5,680860.625,711160.375,NA,NA,441533,249829.09375,396151.65625,169466.78125,182035.09375
157/227.1759mz/1.18min,11037700,9816182,4382309,NA,NA,NA,8645701,5793577.5,NA,NA,NA,NA,3875000.5,3421708.5,2166968,3792495.5,NA,NA,10638888,10104265,3486232.75,2509726.5,NA,NA,NA,NA,NA
159/249.1578mz/1.19min,4082206.5,2854664,1257854,NA,NA,NA,2340224,1403114.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2279641.75,2419124.75,NA,NA,NA,NA,NA,NA,NA
"166/""""""3,4,5-Trimethoxyphenol CollisionEnergy:102040""""""/185.0813mz/1.25min",1495189,1644923.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167/197.1289mz/1.25min,702025.375,735465,1134904.375,1881330.375,1385223.25,1677975.875,1312740.875,1508694.75,912446.0625,923231.75,1259629.625,1363953.125,1826982.875,1231851,1416456.125,1308524,1185501.875,1366592.375,1896477.625,1897139.125,1170905.875,1106911.625,1363473,478129.4375,1269580.375,947092.75,550314.75
168/303.1349mz/1.26min,1137078.125,1599603.75,605827.75,1016214,1513057.125,732549.0625,1682694.5,737316.25,974317.4375,1567631.625,1491154.625,1525427.375,1565938.5,1113623.125,1266706.125,997983.25,1023116.125,1000049.375,1260411.75,1276156.125,1040999.125,1235250,1266877.5,494595.03125,1192281.75,1061518.25,678189.5625
177/371.2286mz/1.35min,564736.25,NA,1307131.375,NA,NA,NA,1196027,2184778,341358.25,419074,368843.46875,374547.78125,543192.5625,368610.375,376279.40625,377237.875,382656.4375,412164.03125,621923.4375,596082.6875,336492.15625,356800.59375,512749.5,275287.03125,515263.40625,284513.71875,293143.4375
178/388.2550mz/1.35min,1163186.375,773709.875,2534943.75,703674.1875,423944.09375,424176.03125,2303729,4104085.25,775167.875,836122.6875,769574.9375,828132.875,1099724.875,749710.875,818909,792190.6875,765961.9375,837718.8125,1190726.625,1272610.25,654093,801803.5,1033446.25,622375.3125,1021262.5,660590.9375,625304.5
180/144.0811mz/1.35min,561994.9375,458225.65625,2280206.5,459033.59375,335497.90625,318360.53125,1576751.75,2815157,285014.59375,361641,476508.125,529808.875,695291.1875,500036.0625,446084.09375,435350.40625,387892.5625,429925.0625,653398.625,641246.625,444721.71875,473649.0625,NA,NA,568477.8125,484547.625,276103
181/393.2105mz/1.36min,633886.4375,NA,1064329,NA,NA,NA,1102664.375,1736090.125,262321.5,281639.8125,273453.03125,287746.375,NA,NA,305186.4375,177285.234375,217665.578125,258379.03125,489231.5625,536436.8125,311877.15625,289653.65625,419745.84375,186488.265625,342131.84375,153377.640625,179035.359375
182/3S_2349_Tetrahydro_1h_pyrido_34b_indole_carboxylic_acid/217.0975mz/1.36min,451553.53125,388997.71875,750391.9375,NA,NA,NA,728182.3125,854139.5625,NA,NA,384169.46875,367611.0625,595952.3125,340884.625,267593.875,336153.59375,309665.25,347941.96875,526038.9375,466061.78125,326906.3125,307760.6875,NA,NA,363933.71875,345347.125,126306.5
"183/""""""4-Allyl-2,6-dimethoxyphenol CollisionEnergy:102040""""""/195.1020mz/1.37min",381759.65625,392271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
